id,cnn_score,energy
669691.000,0.000,1335.336
619024.000,0.473,1292.075
974214.000,0.119,2456.696
656864.000,0.422,1678.228
331808.000,0.124,2370.807
608600.000,0.189,2104.923
35818.000,0.086,1835.159
696520.000,0.131,2614.616
470013.000,0.046,2264.955
27787.000,0.289,2335.371
299599.000,0.043,1323.253
944901.000,0.074,1929.109
173677.000,0.265,2206.985
552973.000,0.002,1111.940
160037.000,0.138,2614.665
196421.000,0.117,1045.418
796293.000,0.320,1258.735
119369.000,0.011,2158.893
228504.000,0.034,1354.582
325234.000,0.034,2192.329
143376.000,0.062,2024.859
243913.000,0.042,2060.427
393326.000,0.362,2614.865
233491.000,0.017,2612.590
905632.000,0.000,1373.434
456891.000,0.194,2031.558
933651.000,0.106,2612.647
425415.000,0.003,2034.529
139301.000,0.124,2493.297
607398.000,0.027,1902.097
1015572.000,0.081,1093.172
214739.000,0.068,2613.564
191301.000,0.007,2612.721
207436.000,0.153,2306.504
817589.000,0.005,1343.988
637809.000,0.011,2441.417
277165.000,0.028,1771.274
917804.000,0.035,2614.865
139068.000,0.019,2330.029
309934.000,0.047,2375.221
632910.000,0.068,1028.993
690274.000,0.001,2616.549
28025.000,0.002,2614.718
122315.000,0.098,1452.535
681960.000,0.028,1520.728
8030.000,0.013,2027.860
952289.000,0.079,1621.233
636296.000,0.016,2612.727
900704.000,0.007,2050.987
441465.000,0.107,2111.928
98300.000,0.036,2615.039
167543.000,0.053,2119.443
760057.000,0.284,1591.834
75999.000,0.083,2342.338
301414.000,0.000,2327.004
153192.000,0.352,1929.284
319750.000,0.041,2612.313
999050.000,0.112,2011.319
44425.000,0.008,2104.631
262691.000,0.047,1307.541
6121.000,0.123,2614.434
184782.000,0.235,1383.681
492993.000,0.019,2330.047
975981.000,0.053,2613.830
1009905.000,0.733,1909.501
730607.000,0.000,2470.922
815070.000,0.009,1925.219
284717.000,0.064,2262.756
459393.000,0.084,2613.770
949078.000,0.064,2441.376
100815.000,0.050,2614.484
261542.000,0.085,2058.124
378947.000,0.027,1791.333
648255.000,0.018,2418.648
376133.000,0.059,1741.192
203854.000,0.362,1565.232
721639.000,0.025,2150.791
861362.000,0.414,1240.379
685687.000,0.021,2132.835
7049.000,0.853,1414.807
11825.000,0.001,1093.161
327823.000,0.041,1633.145
858705.000,0.034,1274.761
575416.000,0.385,2317.819
780969.000,0.047,2605.276
30423.000,0.738,1730.529
889956.000,0.522,2377.928
723016.000,0.006,1621.001
727387.000,0.092,2329.007
999220.000,0.221,1538.114
924305.000,0.170,1050.066
136270.000,0.677,1138.518
657267.000,0.035,2614.310
994460.000,0.501,1998.951
875606.000,0.521,1230.581
250470.000,0.023,2614.711
313391.000,0.722,1817.025
525791.000,0.246,1592.494
33656.000,0.530,1033.419
255341.000,0.066,2051.340
