id,cnn_score,energy
586522.000,0.063,2200.931
998449.000,0.050,1674.788
18970.000,0.035,1876.186
791993.000,0.101,1203.004
858497.000,0.173,2362.758
982475.000,0.241,1060.154
912067.000,0.034,1079.635
242344.000,0.022,2356.276
779525.000,0.287,1342.094
49297.000,0.028,2612.310
507641.000,0.041,1981.923
842229.000,0.898,1268.395
586788.000,0.002,2102.099
648022.000,0.814,2172.054
567889.000,0.196,2298.506
234111.000,0.080,1623.165
41198.000,0.001,2272.552
371389.000,0.417,2541.217
799471.000,0.330,2319.461
909389.000,0.065,2208.942
708733.000,0.064,2323.142
1026525.000,0.303,1139.012
146012.000,0.160,2614.757
341819.000,0.000,1077.724
238364.000,0.587,1961.990
574477.000,0.097,2264.339
766866.000,0.084,2348.834
566718.000,0.158,2612.648
742284.000,0.674,1836.417
1026197.000,0.132,2279.930
537244.000,0.757,2613.869
507312.000,0.080,1771.581
118782.000,0.300,2131.208
976160.000,0.059,1842.833
382792.000,0.015,2614.991
545499.000,0.024,1905.325
291959.000,0.013,1319.875
103706.000,0.103,2101.738
20796.000,0.627,2303.025
789936.000,0.053,1819.132
360988.000,0.715,2085.537
362639.000,0.104,1593.653
633821.000,0.372,1707.567
285911.000,0.046,2613.541
507681.000,0.106,2279.171
506154.000,0.493,2279.672
447537.000,0.437,2230.300
984464.000,0.007,2382.036
583860.000,0.286,1568.421
307366.000,0.089,1682.295
505111.000,0.358,1933.642
21451.000,0.151,2610.723
11596.000,0.029,2196.821
101628.000,0.219,1031.178
574668.000,0.232,1843.461
162095.000,0.024,2614.326
379033.000,0.207,2324.361
989250.000,0.007,2102.690
884563.000,0.068,1922.085
775441.000,0.245,1805.711
147027.000,0.306,1792.752
993216.000,0.655,1188.064
868671.000,0.094,1537.901
917564.000,0.043,2478.011
858418.000,0.018,2388.798
702613.000,0.094,1282.195
737821.000,0.034,1533.975
948026.000,0.031,2001.123
775822.000,0.001,2613.956
295679.000,0.166,2145.175
639603.000,0.235,1984.346
119934.000,0.057,1584.750
553937.000,0.000,2146.328
250096.000,0.022,2611.483
754848.000,0.182,2022.098
495789.000,0.167,2614.756
934093.000,0.716,1292.331
732868.000,0.031,2418.714
1000065.000,0.190,1591.069
627566.000,0.114,1587.886
353527.000,0.513,2243.254
410950.000,0.068,2614.333
412961.000,0.081,1561.457
723227.000,0.001,2614.815
95197.000,0.045,1621.314
641536.000,0.200,2323.579
734546.000,0.041,2614.920
385825.000,0.248,1557.054
570756.000,0.041,2153.316
484648.000,0.091,1897.791
570168.000,0.234,1807.334
142002.000,0.013,2468.984
349595.000,0.336,1145.259
387016.000,0.007,2615.443
366966.000,0.185,2240.461
643323.000,0.154,1755.697
608467.000,0.112,2279.920
926643.000,0.008,1921.153
697525.000,0.000,2615.843
195539.000,0.853,1361.405
561081.000,0.023,2101.832
391234.000,0.795,2613.804
437662.000,0.016,2256.393
290671.000,0.020,1185.738
696658.000,0.340,1523.061
971952.000,0.004,2574.357
1000885.000,0.395,1592.527
45137.000,0.005,2611.259
687872.000,0.100,2110.667
