id,cnn_score,energy
2592444.000,0.022,2180.440
2598284.000,0.007,1008.717
2597740.000,0.527,2223.609
2501264.000,0.025,1750.212
2501720.000,0.174,1989.683
2711548.000,0.037,1603.135
2479909.000,0.021,1374.193
2567603.000,0.020,2613.242
2742503.000,0.000,2614.527
2678423.000,0.484,2614.828
2725615.000,0.004,1983.875
2695924.000,0.018,2613.946
2625886.000,0.247,1960.830
2452152.000,0.018,2616.025
2555827.000,0.258,2027.832
2415449.000,0.005,2613.956
2577445.000,0.244,1618.868
2457204.000,0.021,2443.710
2469535.000,0.115,1665.823
2776214.000,0.006,2155.877
2626361.000,0.360,2377.636
2637964.000,0.065,1843.500
2755996.000,0.000,1629.810
2397883.000,0.881,2364.150
2706066.000,0.062,1267.322
2487979.000,0.058,1688.937
2580645.000,0.338,1441.648
2434297.000,0.152,1932.306
2439051.000,0.393,2336.822
2598139.000,0.065,2246.722
2528939.000,0.087,2368.837
2711500.000,0.890,1024.924
2441395.000,0.000,1886.942
2582895.000,0.177,1665.311
2640864.000,0.184,1651.887
2745097.000,0.015,2047.633
2717779.000,0.171,1494.246
2628213.000,0.359,1874.126
2701930.000,0.464,1166.040
2412685.000,0.026,2614.232
2552233.000,0.001,2312.269
2414701.000,0.001,2613.915
2778945.000,0.073,1174.002
2614117.000,0.617,1982.576
2402614.000,0.400,1937.218
2535262.000,0.001,2330.294
2560052.000,0.034,2605.105
2497827.000,0.009,2169.748
2543418.000,0.350,1188.880
2706878.000,0.023,2410.109
2697029.000,0.094,2531.103
2754963.000,0.003,1503.991
2457541.000,0.767,1592.673
2658218.000,0.015,1401.131
2723498.000,0.108,2319.008
2507845.000,0.004,2615.373
2698452.000,0.005,2117.789
2456760.000,0.006,2360.930
2637097.000,0.002,1609.848
2400323.000,0.043,1702.751
2779116.000,0.446,1162.588
2683555.000,0.079,1769.432
2653537.000,0.019,1995.468
2744005.000,0.067,2228.564
2454399.000,0.030,1607.656
2427288.000,0.037,1514.650
2694606.000,0.008,1324.819
2457516.000,0.513,2614.678
2704316.000,0.029,1095.646
2620647.000,0.022,2452.257
2485336.000,0.245,1468.353
2529822.000,0.317,2410.184
2581083.000,0.006,1477.854
2773662.000,0.276,2200.711
2745183.000,0.067,2165.861
2717067.000,0.002,2044.900
2508458.000,0.279,2214.468
2503219.000,0.000,2613.894
2719281.000,0.075,1164.130
2533094.000,0.002,2221.751
2766955.000,0.003,1899.292
2497510.000,0.000,2224.065
2628283.000,0.103,2613.159
2500106.000,0.034,2513.241
2613943.000,0.068,1276.805
2633969.000,0.047,2038.567
2580972.000,0.050,1386.536
2664055.000,0.012,1691.342
2455584.000,0.028,1778.813
2698694.000,0.018,2113.895
2640085.000,0.078,2110.044
2690649.000,0.174,2608.865
2463944.000,0.694,2035.388
2587315.000,0.258,2230.690
2411775.000,0.024,1179.895
2554619.000,0.078,1839.979
2594488.000,0.126,2439.452
2528314.000,0.379,1670.818
2555299.000,0.107,1761.568
2519747.000,0.070,2101.085
2528886.000,0.062,2614.890
2712540.000,0.018,1814.781
2512889.000,0.000,1984.160
2731915.000,0.032,1621.920
2480614.000,0.058,2332.460
2673515.000,0.178,2272.645
2498447.000,0.665,2086.040
2530167.000,0.101,1487.724
2675363.000,0.000,2613.153
2536408.000,0.000,1973.970
2412174.000,0.001,2262.864
2506354.000,0.025,2607.551
2474402.000,0.056,2375.895
2552438.000,0.108,2104.672
2415210.000,0.402,2257.005
2613741.000,0.228,2247.806
2631192.000,0.063,2038.273
2537382.000,0.643,2613.926
2662539.000,0.016,2367.120
2403291.000,0.030,2244.646
2497475.000,0.038,2413.571
2643131.000,0.000,2615.374
2430377.000,0.038,1094.309
2748690.000,0.496,2070.032
2506396.000,0.290,1325.305
2749636.000,0.031,2615.104
2499749.000,0.001,2104.496
2486224.000,0.452,1473.017
2628044.000,0.065,2389.918
2573326.000,0.306,2455.784
2668225.000,0.010,1208.827
2495774.000,0.000,2065.189
2419588.000,0.005,1268.545
2646714.000,0.031,2613.710
2766876.000,0.077,2266.460
2783385.000,0.040,1802.573
2641766.000,0.008,2230.563
2555949.000,0.049,1620.789
2492035.000,0.012,2614.426
2688632.000,0.025,2275.051
2561166.000,0.684,1846.890
2459023.000,0.026,2614.492
2730887.000,0.033,1920.104
2579682.000,0.493,1134.614
2538289.000,0.030,1674.077
2397897.000,0.629,1740.774
2775236.000,0.035,2457.537
2596188.000,0.117,2613.885
2455941.000,0.047,2049.473
2535484.000,0.042,1747.757
2564739.000,0.390,1219.837
2511686.000,0.011,1078.185
2539638.000,0.065,2071.706
2643251.000,0.104,1905.775
2671826.000,0.433,2259.745
2742737.000,0.308,1312.420
2614896.000,0.314,2614.362
2712235.000,0.413,1348.867
2424130.000,0.523,1681.060
2513728.000,0.381,2615.154
2747313.000,0.328,1920.453
2414477.000,0.035,1170.068
2450631.000,0.003,2454.293
